Commerce Cloud Product Active Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
productID,revenueDay,unitsDay,ordersDay,impressionsDay,viewsDay,avgSalesPriceDay,conversionDay,revenueWeek,unitsWeek,ordersWeek,impressionsWeek,viewsWeek,avgSalesPriceWeek,conversionWeek,revenueMonth,unitsMonth,ordersMonth,impressionsMonth,viewsMonth,avgSalesPriceMonth,conversionMonth,revenueYear,unitsYear,ordersYear,impressionsYear,viewsYear,avgSalesPriceYear,conversionYear
8885004557M,120,2,2,238,26,60,0.012214,641.76,13,12,1439,151,53.48,0.010457,5047.7,78,70,8114,626,72.11,0.01444,27432.33,581,479,69261,8756,57.27,0.012361
8885004564M,300,6,5,222,85,60,0.030535,1767.92,29,28,1896,672,63.14,0.024399,6683.6,140,124,6247,3058,53.9,0.025579,58007.68,796,778,27019,10462,74.56,0.020077
8885004571M,378,3,3,207,37,126,0.018321,2790,30,25,1717,317,111.6,0.021785,12232.08,93,84,6460,1346,145.62,0.017328,20631.12,219,188,11509,2073,109.74,0.004852
8885004830M,1260,11,10,167,68,126,0.06107,7570.44,83,68,1113,548,111.33,0.059256,33289.44,347,311,6259,1767,107.04,0.064155,489061.83,3439,3153,38152,19577,155.11,0.081366
8885004847M,100,2,2,99,44,50,0.012214,865.34,16,14,798,260,61.81,0.0122,3487.35,80,67,2660,1387,52.05,0.013821,28364.17,561,503,29229,15694,56.39,0.01298
8885004854M,250,5,5,171,78,50,0.030535,1221.77,34,29,1413,595,42.13,0.025271,8847.15,194,169,6257,2838,52.35,0.034862,84949.56,2275,1884,59243,34623,45.09,0.048618
8885004861M,250,6,5,168,42,50,0.030535,2152.5,37,35,1329,250,61.5,0.030499,6730.5,152,150,4842,1524,44.87,0.030943,106210.32,2123,1704,49977,16358,62.33,0.043973
8885004878M,650,13,13,123,59,50,0.079391,5739.76,122,104,772,478,55.19,0.090627,25257.33,458,423,4088,2016,59.71,0.087259,55095.18,1179,1126,9018,4392,48.93,0.029057
8885004885M,150,6,5,158,35,30,0.030535,1369.9,45,38,1326,245,36.05,0.033114,5944.32,179,172,4324,941,34.56,0.035481,9847.44,384,376,12315,2577,26.19,0.009703
8885004892M,180,7,6,122,27,30,0.036642,1167.45,46,43,781,222,27.15,0.037471,6551.2,197,190,4019,862,34.48,0.039194,82716.36,2795,2364,34389,8783,34.99,0.061005
8885005141M,150,6,6,125,29,25,0.036642,1119.6,41,40,951,242,27.99,0.034856,5326.99,235,191,4074,1076,27.89,0.039401,58040,2194,2000,40143,10969,29.02,0.051612
8885005158M,198,2,2,134,24,99,0.012214,1097.64,13,12,994,158,91.47,0.010457,6274.17,70,63,3816,816,99.59,0.012996,23539.6,236,196,12880,2738,120.1,0.005058
8885005165M,1188,12,12,214,54,99,0.073284,7829.35,97,85,1765,442,92.11,0.07407,30309.48,399,354,6700,1608,85.62,0.073025,440320,4233,4000,53912,13395,110.08,0.103224
8885005172M,541.5,6,6,108,35,90.25,0.036642,3139.78,47,41,687,251,76.58,0.035728,23874.48,246,216,3417,846,110.53,0.044558,94603.32,1265,1038,25545,6888,91.14,0.026787
8885005189M,180.5,2,2,161,28,90.25,0.012214,1280.16,17,14,1371,220,91.44,0.0122,6207.86,80,74,4985,800,83.89,0.015265,58881.02,785,638,47831,11655,92.29,0.016464
8885005196M,90.25,1,1,143,15,90.25,0.006107,611.94,8,7,990,116,87.42,0.0061,1925.28,27,24,3992,479,80.22,0.004951,31265.97,395,339,56289,4528,92.23,0.008748
8885005202M,180.5,2,2,76,23,90.25,0.012214,1352.35,18,17,636,172,79.55,0.014814,5085.08,57,52,1887,526,97.79,0.010727,4495.05,45,45,1796,671,99.89,0.001161
8885535488M,432,3,3,88,23,144,0.018321,2741.08,19,17,497,175,161.24,0.014814,14012.46,107,99,2611,629,141.54,0.020422,69151.3,575,485,21062,4741,142.58,0.012516
8885535495M,144,1,1,27,6,144,0.006107,1207.71,8,7,214,37,172.53,0.0061,5112.58,35,34,773,159,150.37,0.007014,56923.79,497,413,9050,1878,137.83,0.010658
8885535501M,2160,17,15,206,71,144,0.091605,15681.26,102,101,1443,474,155.26,0.088012,76161.54,593,546,5752,2158,139.49,0.112632,919474.42,5570,5402,92577,22653,170.21,0.139404
8885535518M,576,4,4,203,40,144,0.024428,3462.14,26,22,1164,289,157.37,0.019171,17349.25,172,145,6408,1147,119.65,0.029911,185016.04,1591,1478,81048,14609,125.18,0.038141
8885535525M,1584,12,11,211,53,144,0.067177,13595.4,94,83,1273,403,163.8,0.072327,37031.84,240,232,4704,856,159.62,0.047858,35908.44,307,258,5062,1109,139.18,0.006658
8885535532M,90,3,3,33,15,30,0.018321,723.66,22,21,243,112,34.46,0.0183,2497.23,92,81,995,482,30.83,0.016709,27755.56,1010,833,9386,5244,33.32,0.021496
8885535549M,30,1,1,91,10,30,0.006107,203.2,9,8,763,80,25.4,0.006971,744.93,34,31,2592,265,24.03,0.006395,5170.86,150,138,14552,1487,37.47,0.003561
8885535556M,121.5,1,1,50,9,121.5,0.006107,607.68,6,6,342,71,101.28,0.005228,4674.32,40,34,1541,335,137.48,0.007014,15116.66,127,106,5046,832,142.61,0.002735
8885535563M,729,6,6,75,26,121.5,0.036642,5414.13,53,43,649,154,125.91,0.037471,24267.64,238,212,2695,852,114.47,0.043733,126099.64,1344,1142,11910,4241,110.42,0.02947
8885535570M,243,2,2,91,15,121.5,0.012214,2294.08,16,16,779,90,143.38,0.013943,8290.35,76,69,3052,495,120.15,0.014234,64252.35,608,555,26504,3845,115.77,0.014322
8885535587M,486,4,4,57,20,121.5,0.024428,3497.67,39,33,473,153,105.99,0.028756,18864.58,148,127,1900,585,148.54,0.026198,150195.96,1097,991,15205,7028,151.56,0.025574
8885535594M,486,4,4,74,20,121.5,0.024428,2520.8,27,23,487,174,109.6,0.020042,14996.41,160,143,2281,723,104.87,0.029499,24184.2,187,170,3331,694,142.26,0.004387
8885535600M,1336.5,9,9,90,40,148.5,0.054963,12257.43,79,73,516,299,167.91,0.063613,39368.08,254,232,2639,992,169.69,0.047858,588067.36,4223,4024,35413,12102,146.14,0.103843
8885535617M,310.5,3,3,97,15,103.5,0.018321,2166.99,22,21,682,84,103.19,0.0183,10551.9,116,102,2600,397,103.45,0.021041,79486.4,1099,940,23536,4287,84.56,0.024258
8885538403M,414,4,4,236,57,103.5,0.024428,4030.08,32,32,1822,473,125.94,0.027885,12374.7,141,130,6549,1635,95.19,0.026817,80036.16,890,789,49797,11565,101.44,0.020361
8885538410M,1053,9,9,159,42,117,0.054963,7670.88,69,63,1363,349,121.76,0.054899,28216.8,280,240,4609,1160,117.57,0.049509,61221.69,721,591,11714,2599,103.59,0.015251
8885538427M,630,8,7,247,74,90,0.042749,4272.24,60,56,1870,589,76.29,0.048799,23437.3,234,223,8727,2099,105.1,0.046002,246356.35,2767,2659,71747,20971,92.65,0.068618
8885538434M,60.48,8,8,186,40,7.56,0.048856,426.92,52,52,1266,317,8.21,0.045313,2675.4,298,294,6193,1334,9.1,0.060648,15337.52,2893,2404,80950,11973,6.38,0.062037
8885538441M,120,4,4,204,55,30,0.024428,805.5,30,30,1618,341,26.85,0.026142,3704.02,145,118,5812,1601,31.39,0.024342,57438.59,1694,1679,84122,16529,34.21,0.043328
8885538458M,210,8,7,85,35,30,0.042749,1054.8,42,40,553,210,26.37,0.034856,9646.56,282,261,2524,1232,36.96,0.053841,27343,1109,925,11509,5085,29.56,0.02387
8885538465M,240,18,16,205,72,15,0.097712,1788.52,135,122,1454,490,14.66,0.106312,8045.6,481,452,5402,2021,17.8,0.093241,18987.95,1430,1237,18887,5321,15.35,0.031922
13742000153M,225,15,15,189,94,15,0.091605,1609.92,147,129,1348,772,12.48,0.112412,6333.9,525,430,6407,2856,14.73,0.088703,20189.18,1347,1126,13926,6724,17.93,0.029057
13742000160M,126,8,7,212,86,18,0.042749,940.47,51,47,1658,628,20.01,0.040956,3954.28,256,242,6603,2362,16.34,0.049921,4057.56,232,204,5683,2038,19.89,0.005264
13742000191M,40,2,2,130,48,20,0.012214,245.28,14,12,761,378,20.44,0.010457,1332.25,86,73,4403,1196,18.25,0.015059,6168.69,356,341,29022,9061,18.09,0.0088
13742000207M,225,16,15,191,69,15,0.091605,1973.79,135,117,1312,527,16.87,0.101955,7224.42,616,501,5272,1916,14.42,0.103349,85712.47,6583,5899,57976,27488,14.53,0.152229
13742000238M,50,2,2,155,21,25,0.012214,322.8,17,15,1090,168,21.52,0.013071,1763.2,75,64,3929,707,27.55,0.013202,5907.24,333,269,20511,2449,21.96,0.006942
13742000252M,400,17,16,220,76,25,0.097712,2712.82,135,118,1672,545,22.99,0.102826,14863.37,589,479,7552,1889,31.03,0.098811,160797.24,7571,7034,67782,25023,22.86,0.181519
13742000269M,75,3,3,110,28,25,0.018321,518.04,19,18,885,236,28.78,0.015685,2197.6,89,82,4078,755,26.8,0.016915,10373.36,613,508,18112,5086,20.42,0.013109
13742000283M,425,17,17,201,80,25,0.103819,3221.85,143,141,1375,537,22.85,0.122869,14698.16,669,538,6033,2164,27.32,0.110982,116614.81,5686,5213,60234,30877,22.37,0.134526
13742000320M,352,13,11,198,92,32,0.067177,2701.35,72,69,1504,519,39.15,0.060127,8427.98,385,319,6008,3201,26.42,0.065805,50362.68,1761,1698,31737,15937,29.66,0.043818
13742000344M,80,4,4,152,55,20,0.024428,618.25,27,25,1178,334,24.73,0.021785,2001.44,126,112,5084,1592,17.87,0.023104,3492.18,194,174,6647,2392,20.07,0.00449
13742000443M,29,1,1,93,30,29,0.006107,172.62,6,6,603,200,28.77,0.005228,737.64,31,27,3187,796,27.32,0.00557,10194.64,388,361,26904,10173,28.24,0.009316
13742002423M,87,3,3,42,18,29,0.018321,784.96,22,22,355,116,35.68,0.019171,2165.62,82,82,1406,672,26.41,0.016915,31167.07,1200,1067,16896,5579,29.21,0.027535
13742002454M,33.28,1,1,134,25,33.28,0.006107,192.36,7,6,1079,177,32.06,0.005228,1250.2,40,35,4164,876,35.72,0.00722,12488.04,454,373,39415,8365,33.48,0.009626
13742002485M,657.51,21,21,196,85,31.31,0.128247,2532.32,79,68,965,362,37.24,0.059256,3040.95,107,97,878,383,31.35,0.02001,2085.61,88,73,967,359,28.57,0.001884
13742002522M,259.35,8,7,108,42,37.05,0.042749,2009.4,62,51,647,295,39.4,0.044442,10220.14,278,259,4020,1563,39.46,0.053428,113213.55,3515,3007,32162,16334,37.65,0.077598
13742002560M,3.15,1,1,106,16,3.15,0.006107,21.66,6,6,767,100,3.61,0.005228,98.1,36,30,3009,535,3.27,0.006189,940.37,363,347,31941,6000,2.71,0.008955
13742002577M,85,1,1,58,27,85,0.006107,641.68,9,8,344,223,80.21,0.006971,2861.78,40,34,1907,908,84.17,0.007014,30824.64,387,336,21168,10178,91.74,0.008671
13742002607M,340,4,4,173,20,85,0.024428,2305.06,25,23,1286,162,100.22,0.020042,11355.29,149,149,6287,573,76.21,0.030737,77273.92,931,904,39924,3417,85.48,0.023329
13742002669M,85,1,1,37,14,85,0.006107,523.3,6,5,320,110,104.66,0.004357,2841.48,28,27,1134,465,105.24,0.00557,31651.62,422,357,15958,5580,88.66,0.009213
13742002690M,595,7,7,174,44,85,0.042749,3908.84,53,52,1500,253,75.17,0.045313,18581.4,193,186,4888,1373,99.9,0.038369,268217.88,3794,3129,59358,19569,85.72,0.080747
13742002706M,340,4,4,187,81,85,0.024428,2448.63,29,27,1255,498,90.69,0.023528,5731.35,59,57,2742,873,100.55,0.011758,3825,54,50,1832,1201,76.5,0.00129
13742002799M,510,7,6,123,58,85,0.036642,4739.38,51,46,1036,385,103.03,0.040085,16242.66,234,189,4002,1696,85.94,0.038988,188589.43,2205,1891,33720,13649,99.73,0.048799
13742002805M,170,2,2,43,9,85,0.012214,1317.15,15,15,309,59,87.81,0.013071,6687.48,82,69,1387,300,96.92,0.014234,45867.2,544,436,7121,1658,105.2,0.011251
13742002836M,170,2,2,170,22,85,0.012214,896.61,12,11,1152,164,81.51,0.009585,4154.8,58,52,5973,641,79.9,0.010727,25838.1,314,285,23978,2297,90.66,0.007355
13742002881M,850,10,10,166,79,85,0.06107,6230.48,76,76,1168,674,81.98,0.066227,32017.24,374,334,5761,2699,95.86,0.068899,63292.64,897,856,13567,4594,73.94,0.02209
13742002898M,85,1,1,28,12,85,0.006107,495.06,6,6,186,67,82.51,0.005228,2211.56,28,26,838,310,85.06,0.005363,32927.18,326,319,8692,4255,103.22,0.008232
13742002928M,85,1,1,31,7,85,0.006107,719.44,8,8,269,59,89.93,0.006971,2045.28,25,24,1160,260,85.22,0.004951,6855.03,110,91,2881,535,75.33,0.002348
13742002997M,935,13,11,154,57,85,0.067177,6819.28,101,83,1344,442,82.16,0.072327,25757.28,335,279,4413,1630,92.32,0.057554,423107.64,4953,4153,64231,25863,101.88,0.107172
13742003031M,510,7,6,134,37,85,0.036642,3967.16,48,41,1134,277,96.76,0.035728,14052.6,149,148,4008,904,94.95,0.03053,175283.68,2598,2288,57390,12268,76.61,0.059044
13742003048M,255,3,3,85,20,85,0.018321,1569.92,26,22,574,120,71.36,0.019171,7634.2,76,76,2346,521,100.45,0.015678,83083.59,830,787,19748,5900,105.57,0.020309
13742003154M,85,1,1,217,28,85,0.006107,679.04,8,8,1769,174,84.88,0.006971,2734.05,40,33,7399,976,82.85,0.006807,29317.92,319,309,81037,9084,94.88,0.007974
13742003192M,340,4,4,86,27,85,0.024428,2768.31,32,27,694,166,102.53,0.023528,8353.84,122,121,2245,972,69.04,0.024961,64508.4,858,792,19386,7239,81.45,0.020438
13742003208M,340,4,4,183,18,85,0.024428,1876.82,23,22,1319,145,85.31,0.019171,10794.4,107,103,5240,507,104.8,0.021247,26981.55,260,255,8465,1212,105.81,0.006581
13742003253M,85,1,1,73,7,85,0.006107,556.38,6,6,526,54,92.73,0.005228,2320.92,33,28,2604,201,82.89,0.005776,36788.2,440,439,30669,2515,83.8,0.011329
13742003260M,1105,15,13,186,57,85,0.079391,9524.97,97,91,1623,379,104.67,0.079298,35380.8,481,390,4947,1982,90.72,0.080451,55388.64,841,771,13584,3203,71.84,0.019896
13742003277M,1615,21,19,207,82,85,0.116033,12828.68,159,137,1604,619,93.64,0.119383,32693.44,541,464,5709,2434,70.46,0.095717,416592.02,6481,6071,68641,31617,68.62,0.156668
13742003307M,85,1,1,26,11,85,0.006107,618.18,7,6,168,67,103.03,0.005228,2304,33,32,955,395,72,0.006601,16035.75,277,225,6914,2224,71.27,0.005806
13742003314M,425,5,5,183,25,85,0.030535,2368.71,33,31,1521,174,76.41,0.027014,8103.42,119,117,4756,745,69.26,0.024135,8946.56,127,112,4042,754,79.88,0.00289
13742003321M,340,4,4,137,52,85,0.024428,3070.32,41,33,859,317,93.04,0.028756,10697.3,138,115,3915,1821,93.02,0.023723,89616.86,1366,1151,50657,19351,77.86,0.029703
13742333299M,425,6,5,145,71,85,0.030535,3086.18,40,34,861,495,90.77,0.029628,9527.58,130,123,5018,2151,77.46,0.025373,42207,572,550,16201,6153,76.74,0.014193
13742333305M,340,4,4,177,43,85,0.024428,2360.88,32,27,1544,315,87.44,0.023528,3058.86,48,42,1941,385,72.83,0.008664,3432.1,39,35,1509,444,98.06,0.000903
13742335200M,425,5,5,139,21,85,0.030535,3673.46,39,38,1065,179,96.67,0.033114,12924.52,141,124,4839,534,104.23,0.025579,137071.44,2375,1923,51865,7852,71.28,0.049625
13742335262M,255,3,3,154,55,85,0.018321,2035.4,23,20,1201,386,101.77,0.017428,9667.21,109,109,4009,1834,88.69,0.022485,108295.96,1413,1219,47870,23615,88.84,0.031457
13742335392M,850,10,10,239,75,85,0.06107,4261.46,69,61,1511,629,69.86,0.053156,33952.2,398,355,7737,2452,95.64,0.073231,280721.1,3798,3641,86243,17783,77.1,0.093959
13742335422M,765,10,9,102,48,85,0.054963,6101.74,74,71,661,389,85.94,0.06187,30804.27,344,329,2572,1574,93.63,0.067868,58915.78,888,737,7888,4716,79.94,0.019019
13742335484M,170,2,2,202,24,85,0.012214,1424.92,16,14,1215,199,101.78,0.0122,4912.5,56,50,7156,742,98.25,0.010314,61117.72,630,622,54969,5036,98.26,0.016051
13742335514M,340,4,4,122,20,85,0.024428,2394.36,27,27,1053,113,88.68,0.023528,12263.6,147,124,3454,682,98.9,0.025579,63661.6,688,604,12154,1984,105.4,0.015587
13742335538M,765,9,9,92,40,85,0.054963,5067.7,61,55,738,244,92.14,0.047927,24518.76,244,238,2891,1451,103.02,0.049096,82750.84,905,892,10295,4058,92.77,0.023019
29407331227M,225,3,3,55,18,75,0.018321,1759.78,25,22,395,149,79.99,0.019171,8632.02,100,94,1883,564,91.83,0.019391,102533.08,1432,1196,19022,7343,85.73,0.030864
29407331258M,75,1,1,83,37,75,0.006107,512.88,6,6,540,315,85.48,0.005228,3039.48,42,36,2914,998,84.43,0.007426,7467.1,103,89,7416,4051,83.9,0.002297
29407331289M,75,1,1,76,8,75,0.006107,607.11,8,7,530,49,86.73,0.0061,2077.27,31,29,2346,285,71.63,0.005982,24864.2,368,355,32309,2761,70.04,0.009161
61492183572M,75,1,1,76,17,75,0.006107,442.19,8,7,498,124,63.17,0.0061,1984.75,26,25,1897,448,79.39,0.005157,18303.24,288,254,23244,4879,72.06,0.006555
61492183589M,360,3,3,50,14,120,0.018321,2363.34,22,21,398,79,112.54,0.0183,9370.8,79,72,1337,523,130.15,0.014853,169267.77,1357,1197,15731,4459,141.41,0.03089
61492183596M,720,7,6,94,31,120,0.036642,4209.48,40,36,747,246,116.93,0.031371,16163.16,179,156,2551,976,103.61,0.032181,328716.08,3082,2482,29779,13923,132.44,0.06405
61492215594M,120,1,1,47,14,120,0.006107,809.7,6,6,336,97,134.95,0.005228,3503.64,28,28,1573,425,125.13,0.005776,35105.4,341,324,15268,3634,108.35,0.008361
61492215617M,600,6,5,96,41,120,0.030535,5208.7,36,35,624,283,148.82,0.030499,14898.99,144,123,3128,1530,121.13,0.025373,298291,2244,2150,42801,15268,138.74,0.055483
61492215624M,480,4,4,150,52,120,0.024428,2920.32,26,26,1277,363,112.32,0.022657,9669.93,110,97,4971,1834,99.69,0.02001,174918.8,1512,1253,51700,14591,139.6,0.032335
61492216683M,960,8,8,78,36,120,0.048856,6776.7,60,49,488,229,138.3,0.042699,27624.84,323,276,2521,1065,100.09,0.056935,332231.85,2422,2329,23356,9371,142.65,0.060102
61492216690M,360,3,3,60,16,120,0.018321,2685.84,20,19,426,110,141.36,0.016557,9790.4,80,80,2035,516,122.38,0.016503,90875.04,789,664,13929,2543,136.86,0.017135
61492216706M,360,3,3,143,25,120,0.018321,1939.33,21,19,880,191,102.07,0.016557,11061.12,97,84,4305,911,131.68,0.017328,150336.06,1578,1361,46771,7320,110.46,0.035122
61492273693M,1800,18,15,207,65,120,0.091605,14080.41,124,101,1802,444,139.41,0.088012,75903.54,653,554,7287,1750,137.01,0.114282,767406.88,8183,6704,72165,29622,114.47,0.173003
61492273709M,1440,14,12,137,66,120,0.073284,12597.3,110,90,960,407,139.97,0.078427,35075.04,339,292,4307,2420,120.12,0.060235,64065.6,585,480,5114,3057,133.47,0.012387
61492273716M,480,4,4,38,17,120,0.024428,3445.4,34,28,315,99,123.05,0.024399,9909.7,85,82,583,308,120.85,0.016915,7239.3,61,59,524,314,122.7,0.001523
61492858852M,120,1,1,51,7,120,0.006107,849.38,7,7,376,42,121.34,0.0061,1336.9,10,10,390,75,133.69,0.002063,967.96,8,7,535,71,138.28,0.000181
61492858869M,99.99,1,1,44,13,99.99,0.006107,724.08,9,8,321,92,90.51,0.006971,3119.53,32,29,1519,423,107.57,0.005982,22125.12,230,228,10391,2754,97.04,0.005884
61492858876M,1599.84,16,16,249,91,99.99,0.097712,11265.46,122,118,2073,708,95.47,0.102826,67519.62,681,574,7455,2276,117.63,0.118408,468539.4,3966,3934,62054,24657,119.1,0.10152
61492858906M,1299.87,14,13,245,102,99.99,0.079391,10508,124,100,1404,748,105.08,0.087141,44036.92,436,428,8886,3670,102.89,0.08829,579987.92,6463,5548,98639,38639,104.54,0.143171
61492858913M,299.97,3,3,101,42,99.99,0.018321,2155,25,25,597,308,86.2,0.021785,7675.29,93,93,2671,1076,82.53,0.019185,95983.56,1077,1062,29545,14770,90.38,0.027406
61492858920M,499.95,5,5,118,24,99.99,0.030535,4269.72,45,39,741,134,109.48,0.033985,13622.19,188,167,3472,786,81.57,0.03445,207147.72,2309,1898,46272,8772,109.14,0.04898
95068015554M,999.9,11,10,128,45,99.99,0.06107,7346.37,75,71,925,372,103.47,0.06187,30304.8,453,368,4333,1199,82.35,0.075913,428235.3,5364,4503,41677,15258,95.1,0.116204
95068015561M,799.92,8,8,105,50,99.99,0.048856,5775.64,59,52,774,355,111.07,0.045313,21984.9,219,210,3524,1313,104.69,0.04332,303464.96,3022,2584,30322,13721,117.44,0.066682
95068015578M,1499.85,18,15,237,95,99.99,0.091605,11056.32,105,99,1598,718,111.68,0.086269,51968.84,625,517,7898,2620,100.52,0.10665,116340.14,1341,1099,15401,5391,105.86,0.028361
95068015585M,899.91,9,9,118,51,99.99,0.054963,6026.46,80,66,813,407,91.31,0.057513,23330,250,250,3939,1612,93.32,0.051571,165834.76,1748,1508,17654,7922,109.97,0.038915
95068018722M,199.98,2,2,117,15,99.99,0.012214,1182.48,13,12,689,118,98.54,0.010457,5775.21,64,63,3347,374,91.67,0.012996,52186.54,520,437,23930,3729,119.42,0.011277
95068018739M,1799.82,20,18,207,84,99.99,0.109926,10138.02,132,114,1711,506,88.93,0.099341,53916.8,627,581,6844,2985,92.8,0.119852,143370.24,1651,1436,20510,8774,99.84,0.037057
95068018784M,99.99,1,1,53,7,99.99,0.006107,552,7,6,379,47,92,0.005228,3086.67,31,31,1648,212,99.57,0.006395,27063.15,269,255,14970,2441,106.13,0.006581
95068018791M,299.97,3,3,36,16,99.99,0.018321,1750.6,23,20,268,127,87.53,0.017428,6410.88,72,72,1041,555,89.04,0.014853,61550.86,745,694,8508,3932,88.69,0.017909
95068990288M,599.94,6,6,137,40,99.99,0.036642,3893.37,44,39,1172,271,99.83,0.033985,23065.24,235,209,3690,1099,110.36,0.043114,207349,1931,1700,41291,11254,121.97,0.04387
95068990295M,899.91,10,9,135,63,99.99,0.054963,6965.81,71,71,1128,357,98.11,0.06187,22099.7,272,241,4649,1727,91.7,0.049715,52865.68,564,469,7744,3841,112.72,0.012103
95068990301M,2199.78,23,22,203,93,99.99,0.134354,15404.58,182,162,1755,530,95.09,0.141168,61923.12,796,744,7434,2542,83.23,0.153477,134547.32,1662,1556,11073,5817,86.47,0.040154
95068990318M,99.99,1,1,168,19,99.99,0.006107,659.88,7,6,1312,119,109.98,0.005228,3109.8,35,30,4249,566,103.66,0.006189,31981.08,426,366,64492,5354,87.38,0.009445
95068990325M,199.98,2,2,91,21,99.99,0.012214,1981.6,16,16,773,181,123.85,0.013943,5667.76,58,56,3071,517,101.21,0.011552,9382.1,110,91,3206,847,103.1,0.002348
95068990332M,1199.88,13,12,227,56,99.99,0.073284,8426.16,96,94,1666,412,89.64,0.081912,39876.25,532,437,6736,1783,91.25,0.090147,61631.46,604,561,12273,3012,109.86,0.014477
95068990349M,99.99,1,1,34,7,99.99,0.006107,876.64,9,8,284,47,109.58,0.006971,2035.74,23,21,637,108,96.94,0.004332,2239.74,19,18,646,143,124.43,0.000465
95068990509M,99.99,1,1,64,12,99.99,0.006107,512.15,5,5,388,68,102.43,0.004357,3171.64,41,37,1779,429,85.72,0.007633,34789.2,500,424,24474,4851,82.05,0.010942
11736753M,399.96,4,4,93,22,99.99,0.024428,2495.07,28,27,536,144,92.41,0.023528,13509.72,157,126,3455,680,107.22,0.025992,95489.56,1142,1084,26737,5733,88.09,0.027974
12416789M,99.99,1,1,64,8,99.99,0.006107,885.92,8,8,375,49,110.74,0.006971,3512.92,33,31,1847,292,113.32,0.006395,54791.44,485,452,19379,3424,121.22,0.011664
21736758M,299.97,3,3,46,16,99.99,0.018321,1472.94,22,18,366,104,81.83,0.015685,8430.4,108,88,1651,585,95.8,0.018153,38607.36,427,352,4673,1446,109.68,0.009084
22416787M,399.96,4,4,247,82,99.99,0.024428,2968.87,36,31,1556,605,95.77,0.027014,3560.31,41,39,2551,1063,91.29,0.008045,3151.4,35,35,2417,1065,90.04,0.000903
22951021M,1899.81,20,19,177,78,99.99,0.116033,16511.04,165,162,1030,663,101.92,0.141168,43695.14,638,514,6165,1883,85.01,0.106031,163548,1915,1800,12272,8188,90.86,0.046451
22956726M,199.98,2,2,145,38,99.99,0.012214,1528.05,18,15,1009,224,101.87,0.013071,6286.05,69,61,3481,1263,103.05,0.012583,55676.88,574,504,49660,11944,110.47,0.013006
22962004M,99.99,1,1,205,21,99.99,0.006107,454.7,6,5,1606,119,90.94,0.004357,2652.48,36,32,5797,657,82.89,0.006601,32890.04,309,284,49042,4488,115.81,0.007329
